,fig_num,quantity,name_mfig,num_parts_mfig,id,set_num,name_set,year,theme_id
1111,fig-005328,1,Spider-Girl,4,14741,76057-1,Spider-Man: Web Warriors Ultimate Bridge Battle,2016,706
1112,fig-005329,1,Aunt May with Medium Lavender Scarf,4,14741,76057-1,Spider-Man: Web Warriors Ultimate Bridge Battle,2016,706
1113,fig-001953,1,Spider-Man,3,21235,10754-1,Spider-Man vs. Scorpion Street Showdown,2018,596
1114,fig-005327,1,Scorpion,6,21235,10754-1,Spider-Man vs. Scorpion Street Showdown,2018,596
1115,fig-001953,1,Spider-Man,3,31696,30451-1,Spider-Man's Mini Spider Crawler,2019,706
1116,fig-008279,1,"Construction Worker, Orange Overalls over Blue Sweater, Black Cap",4,153,60018-1,Cement Mixer,2013,56
1117,fig-008280,1,"Construction Worker, Orange Jacket with Zipper and Reflective Stripes, Dark Tan Legs, Red Hard Hat, Goatee Beard and Safety Glasses",4,153,60018-1,Cement Mixer,2013,56
1118,fig-001010,2,"Man - Blue Jacket, Blue Legs, Red Hat",4,159,7740-1,Inter-City Passenger Train,1980,234
1119,fig-004401,1,"Woman - Blue Torso, Red Legs",4,159,7740-1,Inter-City Passenger Train,1980,234
1120,fig-005101,2,"Woman - Red Torso, Blue Legs, Black Tails",4,159,7740-1,Inter-City Passenger Train,1980,234
1121,fig-005110,1,"Chef - White Torso, Light Gray Legs (3626b Head)",4,159,7740-1,Inter-City Passenger Train,1980,234
1122,fig-005120,1,"Man - Black Torso, White Legs, Brown Hair",4,159,7740-1,Inter-City Passenger Train,1980,234
1123,fig-005121,1,"Man - Blue Torso, Blue Legs, Brown Hair",4,159,7740-1,Inter-City Passenger Train,1980,234
1124,fig-005122,1,"Man - Blue Torso, Red Legs, Black Hair",4,159,7740-1,Inter-City Passenger Train,1980,234
1125,fig-005123,1,"Man - Red Torso, Black Legs, Black Hat",4,159,7740-1,Inter-City Passenger Train,1980,234
1126,fig-001010,1,"Man - Blue Jacket, Blue Legs, Red Hat",4,2619,7760-1,Diesel Shunter Locomotive,1980,234
1127,fig-005114,1,"Man - Blue Torso, Blue Legs, Red Helmet, Yellow Vest",5,2619,7760-1,Diesel Shunter Locomotive,1980,234
1128,fig-001010,2,"Man - Blue Jacket, Blue Legs, Red Hat",4,3746,7745-1,High-Speed City Express Passenger Train,1985,234
1129,fig-005110,1,"Chef - White Torso, Light Gray Legs (3626b Head)",4,3746,7745-1,High-Speed City Express Passenger Train,1985,234
1130,fig-004400,1,"Man - Red Torso, Black Legs",4,3746,7745-1,High-Speed City Express Passenger Train,1985,234
