,year,theme,count
924,1953,Off-Road,0
925,1953,Orient Expedition,0
926,1953,Other,0
927,1953,Outback,0
928,1953,Overwatch,0
929,1953,Paradisa,0
930,1953,Pharaoh's Quest,0
931,1953,Pick A Model,0
932,1953,Pirates,0
933,1953,Pirates I,0
934,1953,Pirates II,0
935,1953,Pirates III,0
936,1953,Pirates of the Caribbean,0
937,1953,Playhouse,0
938,1953,Playsets,0
939,1953,Police,0
940,1953,Power Functions,0
941,1953,Power Miners,0
942,1953,Powered Up,0
943,1953,Primo,0
944,1953,Prince of Persia,0
945,1953,Princess Castle,0
946,1953,Promotional,0
947,1953,Protectors,0
948,1953,Quatro,0
949,1953,RCX,0
950,1953,Race,0
951,1953,Racers,0
952,1953,Rattles,0
953,1953,Res-Q,0
954,1953,RoboForce,0
955,1953,RoboRiders,0
956,1953,Rock Raiders,0
957,1953,Royal Knights,0
958,1953,Samsonite,0
959,1953,Scala,0
960,1953,Scooby-Doo,0
961,1953,Sculptures,0
962,1953,Seasonal,0
963,1953,Series 1 Minifigures,0
964,1953,Series 10 Minifigures,0
965,1953,Series 11 Minifigures,0
966,1953,Series 12 Minifigures,0
967,1953,Series 13 Minifigures,0
968,1953,Series 14 Minifigures,0
969,1953,Series 15 Minifigures,0
970,1953,Series 16 Minifigures,0
971,1953,Series 17 Minifigures,0
972,1953,Series 18 Minifigures,0
973,1953,Series 19 Minifigures,0
974,1953,Series 2 Minifigures,0
975,1953,Series 20 Minifigures,0
976,1953,Series 21 Minifigures,0
977,1953,Series 22 Minifigures,0
978,1953,Series 23 Minifigures,0
979,1953,Series 3 Minifigures,0
980,1953,Series 4 Minifigures,0
981,1953,Series 5 Minifigures,0
982,1953,Series 6 Minifigures,0
983,1953,Series 7 Minifigures,0
984,1953,Series 8 Minifigures,0
985,1953,Series 9 Minifigures,0
986,1953,Service Packs,0
987,1953,Skylines,0
988,1953,Soccer,0
989,1953,Sofia the First,0
990,1953,Soft Bricks,0
991,1953,Space,0
992,1953,Space Police I,0
993,1953,Space Police II,0
994,1953,Space Police III,0
